
===/root/nfs-share/Muri_exp/workloads
--scheduler-ip 192.168.1.104 --trainer-port 9014 --this-dir /root/nfs-share/Muri_exp/workloads
-------------------------------
mpirun -n 1  --allow-run-as-root --oversubscribe --prefix /root/share/openmpi -hostfile /root/nfs-share/Muri_exp/workloads/hostfiles/hostfile-[20--1--1--1]-[2-0-0-0] -bind-to none -map-by slot -mca btl_tcp_if_include 192.168.1.104/24  -x LD_LIBRARY_PATH -x PATH -mca pml ob1 -mca btl ^openib /root/anaconda3/envs/muri/bin/python3 /root/nfs-share/Muri_exp/workloads/main_real_util.py --model0 a2c --batch-size0 64 --train-dir0 ./ --num-workers0 0 --prefetch-factor0 2 --iters0 65 --job-id0 20 --model1 0 --batch-size1 0 --train-dir1 /root/nfs-share/Muri_exp/workloads/datasets/imagenet --num-workers1 0 --prefetch-factor1 2 --iters1 0 --job-id1 -1 --model2 0 --batch-size2 0 --train-dir2 /root/nfs-share/Muri_exp/workloads/datasets/imagenet --num-workers2 0 --prefetch-factor2 2 --iters2 0 --job-id2 -1 --model3 0 --batch-size3 0 --train-dir3 /root/nfs-share/Muri_exp/workloads/datasets/imagenet --num-workers3 0 --prefetch-factor3 2 --iters3 0 --job-id3 -1 --this-dir /root/nfs-share/Muri_exp/workloads --scheduler-ip 192.168.1.104 --trainer-port 9014 --this-dir /root/nfs-share/Muri_exp/workloads




/root/anaconda3/envs/muri/lib/python3.8/site-packages/horovod/common/util.py:258: UserWarning: Framework pytorch installed with version 1.9.1+cu102 but found version 1.9.1+cu111.
             This can result in unexpected behavior including runtime errors.
             Reinstall Horovod using `pip install --no-cache-dir` to build with the new version.
  warnings.warn(get_version_mismatch_message(name, version, installed_version))
trainer:INFO [2023-10-14 23:45:45,672] 192.168.1.104:9011
trainer:INFO [2023-10-14 23:45:45,677] trainer, rpc, start, server @ 9014
trainer:INFO [2023-10-14 23:45:45,678] job [20, -1, -1, -1], register, True
trainer:INFO [2023-10-14 23:45:45,678] job [20, -1, -1, -1], trainer, start, 1697298345.6722684
trainer:INFO [2023-10-14 23:46:02,878] trainer update_stats: 1, 0.3421642780303955
trainer:INFO [2023-10-14 23:46:03,088] trainer update_stats: 2, 0.20953011512756348
trainer:INFO [2023-10-14 23:46:03,299] trainer update_stats: 3, 0.21106600761413574
trainer:INFO [2023-10-14 23:46:03,507] trainer update_stats: 4, 0.20814228057861328
trainer:INFO [2023-10-14 23:46:03,763] trainer update_stats: 5, 0.2557566165924072
trainer:INFO [2023-10-14 23:46:03,967] trainer update_stats: 6, 0.20353484153747559
trainer:INFO [2023-10-14 23:46:04,171] trainer update_stats: 7, 0.20450234413146973
trainer:INFO [2023-10-14 23:46:04,373] trainer update_stats: 8, 0.20227813720703125
trainer:INFO [2023-10-14 23:46:04,583] trainer update_stats: 9, 0.20955705642700195
trainer:INFO [2023-10-14 23:46:04,821] trainer update_stats: 10, 0.23774194717407227
trainer:INFO [2023-10-14 23:46:05,025] trainer update_stats: 11, 0.20378494262695312
trainer:INFO [2023-10-14 23:46:05,229] trainer update_stats: 12, 0.2042369842529297
trainer:INFO [2023-10-14 23:46:05,434] trainer update_stats: 13, 0.20519351959228516
trainer:INFO [2023-10-14 23:46:05,677] trainer update_stats: 14, 0.24292945861816406
trainer:INFO [2023-10-14 23:46:05,889] trainer update_stats: 15, 0.21134710311889648
trainer:INFO [2023-10-14 23:46:06,093] trainer update_stats: 16, 0.20385527610778809
trainer:INFO [2023-10-14 23:46:06,296] trainer update_stats: 17, 0.20278549194335938
trainer:INFO [2023-10-14 23:46:06,519] trainer update_stats: 18, 0.22289586067199707
trainer:INFO [2023-10-14 23:46:06,750] trainer update_stats: 19, 0.23087668418884277
trainer:INFO [2023-10-14 23:46:06,956] trainer update_stats: 20, 0.20652198791503906
